journal_record_id,title,publication_year,journal,issn,doi,url,within_search_venues,automated_screen,automated_reason,dedupe_status,abstract,human_decision,title_abstract_reason,full_text_decision,full_text_reason,study_id,evidence_weight
JR-045,Accountability in Code Review: The Role of Intrinsic Drivers and the Impact of LLMs,2025,ACM Transactions on Software Engineering and Methodology,1049-331X,10.1145/3721127,https://doi.org/10.1145/3721127,J03,candidate,AI-coding and software-development markers present,unique_for_screening,"Accountability is an innate part of social systems. It maintains stability and ensures positive pressure on individuals’ decision-making. As actors in a social system, software developers are accountable to their team and organization for their decisions. However, the drivers of accountability and how it changes behavior in software development are less understood. In this study, we look at how the social aspects of code review affect software engineers’ sense of accountability for code quality. Since Software Engineering (SE) is increasingly involving Large Language Models (LLM) assistance, we also evaluate the impact on accountability when introducing LLM-assisted code reviews. We carried out a two-phased sequential qualitative study ( \(\textbf{interviews}\rightarrow\textbf{focus groups}\) ). In Phase I (16 interviews), we sought to investigate the intrinsic drivers of software engineers influencing their sense of accountability for code quality, relying on self-reported claims. In Phase II, we tested these traits in a more natural setting by simulating traditional peer-led reviews with focus groups and then LLM-assisted review sessions. We found that there are four key intrinsic drivers of accountability for code quality: personal standards , professional integrity , pride in code quality , and maintaining one’s reputation . In a traditional peer-led review, we observed a transition from individual to collective accountability when code reviews are initiated. We also found that the introduction of LLM-assisted reviews disrupts this accountability process, challenging the reciprocity of accountability taking place in peer-led evaluations, i.e., one cannot be accountable to an LLM. Our findings imply that the introduction of AI into SE must preserve social integrity and collective accountability mechanisms.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_contextual,Survey or qualitative evidence retained to interpret adoption and workflow context,,
JR-119,"Engagement in Code Review: Emotional, Behavioral, and Cognitive Dimensions in Peer vs. LLM Interactions",2026,ACM Transactions on Software Engineering and Methodology,1049-331X,10.1145/3830405,https://doi.org/10.1145/3830405,J03,candidate,AI-coding and software-development markers present,unique_for_screening,"Code review is a socio-technical practice, yet how software engineers engage in Large Language Model (LLM)-assisted code reviews compared to human peer-led reviews is less understood, especially as artificial intelligence (AI) tools are increasingly integrated into software engineering (SE) workflows. We report a two-phase qualitative study with 20 software engineers to understand such dynamics. In Phase I, participants exchanged peer reviews and were interviewed about their affective responses and engagement decisions. We also prompted them to discuss their submitted code review generated by ChatGPT 4o. In Phase II, we investigated and introduced a new prompt to match engineers’ stated preferences for the review and probed how content characteristics shaped their reactions. We develop an integrative account linking emotional self-regulation to behavioral engagement and likelihood of a resolution. We identify a repertoire of participant-reported self-regulation strategies that engineers use to regulate their emotions in response to negative feedback: reframing, dialogic regulation, avoidance, and defensiveness. These strategies are inspired by the engineers’ commitment to code quality and values: accountability and growth mindset. Engagement proceeds through social calibration; engineers seem to align their responses and behaviors to the relational climate and team norms. Trajectories to likelihood of a resolution, in the case of peer-led review, vary by locus (solo/dyad/team) and an internal sense-making process. With the LLM-assisted review, emotional costs and the need for self-regulation seem lower, as reported by participants in our sample. When LLM feedback appear to better align with engineers’ cognitive expectations (e.g., clear structure, concise scope, neutral tone, actionable), participants reported reduced processing effort and a potentially higher tendency to adopt. As reported by our participants, our findings demonstrate that LLM-assisted review redirects engagement from managing emotions and social affect to managing cognitive load. We contribute with an integrative model of engagement, linking emotional self-regulation \(\leftrightarrow\) behavioral engagement \(\rightarrow\) likelihood to a resolution, showing how affective and cognitive processes may influence feedback adoption in peer-led and LLM-assisted code reviews. We conclude that AI is best positioned as a supportive partner to potentially reduce cognitive and emotional load while preserving human accountability and the social meaning of peer review and similar socio-technical activities.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_contextual,Survey or qualitative evidence retained to interpret adoption and workflow context,,
JR-176,Investigating the Role of Cultural Values in Adopting Large Language Models for Software Engineering,2025,ACM Transactions on Software Engineering and Methodology,1049-331X,10.1145/3725529,https://doi.org/10.1145/3725529,J03,candidate,AI-coding and software-development markers present,unique_for_screening,"As a socio-technical activity, software development involves the close interconnection of people and technology. The integration of Large Language Models (LLMs) into this process exemplifies the socio-technical nature of software development. Although LLMs influence the development process, software development remains fundamentally human-centric, necessitating an investigation of the human factors in this adoption. Thus, with this study we explore the factors influencing the adoption of LLMs in software development, focusing on the role of professionals’ cultural values. Guided by the Unified Theory of Acceptance and Use of Technology (UTAUT2) and Hofstede’s cultural dimensions, we hypothesized that cultural values moderate the relationships within the UTAUT2 framework. Using Partial Least Squares-Structural Equation Modelling and data from 188 software engineers, we found that habit and performance expectancy are the primary drivers of LLM adoption, while cultural values do not significantly moderate this process. These findings suggest that, by highlighting how LLMs can boost performance and efficiency, organizations can encourage their use, no matter the cultural differences. Practical steps include offering training programs to demonstrate LLM benefits, creating a supportive environment for regular use, and continuously tracking and sharing performance improvements from using LLMs.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_contextual,Survey or qualitative evidence retained to interpret adoption and workflow context,,
JR-225,More than a Judge: An Empirical Study of Agent-Human Interaction in Crowdsourced Testing Assessment,2026,ACM Transactions on Software Engineering and Methodology,1049-331X,10.1145/3828168,https://doi.org/10.1145/3828168,J03,candidate,AI-coding and software-development markers present,unique_for_screening,"Agentic AI is increasingly being integrated into software engineering workflows, and crowdsourced testing is no exception. In this setting, the large volume and uneven quality of submitted test reports still create a substantial review burden for developers. To help address this burden, we previously developed and validated a multi-agent assessment backbone based on the LLM-as-a-Judge paradigm. The backbone, which assesses reports along the dimensions of textuality, adequacy, and competitiveness, was shown to align well with human consensus while substantially reducing assessment effort. Yet reliable automated judging does not by itself show whether agent outputs can improve human work when embedded into the workflow. This paper studies that missing question in the context of crowdsourced testing. We investigate whether assessment-derived, actionable feedback can improve how testers revise reports, perform on later tasks, and transfer reporting practices across applications. To do so, we conducted a controlled four-stage human-subject study with 20 testers across three real-world applications. The results show that agent-generated feedback supports immediate improvements in revised reports, better first submissions on a new task after prior feedback exposure, and evidence of partial but meaningful transfer to a later application. A post-task questionnaire completed by 17 participants complements these artifact-based findings by suggesting that the feedback was generally understandable, acted upon in revision, and carried into later tasks, while also revealing remaining friction in specificity and execution. Overall, the study provides empirical evidence that, in the studied crowdsourced testing setting, assessment agents can serve not only as post-hoc judges but also as workflow-integrated feedback providers that support upstream report-quality improvement.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-100,moderate
JR-229,Navigating the Complexity of Generative AI Adoption in Software Engineering,2024,ACM Transactions on Software Engineering and Methodology,1049-331X,10.1145/3652154,https://doi.org/10.1145/3652154,J03,candidate,AI-coding and software-development markers present,unique_for_screening,"This article explores the adoption of Generative Artificial Intelligence (AI) tools within the domain of software engineering, focusing on the influencing factors at the individual, technological, and social levels. We applied a convergent mixed-methods approach to offer a comprehensive understanding of AI adoption dynamics. We initially conducted a questionnaire survey with 100 software engineers, drawing upon the Technology Acceptance Model, the Diffusion of Innovation Theory, and the Social Cognitive Theory as guiding theoretical frameworks. Employing the Gioia methodology, we derived a theoretical model of AI adoption in software engineering: the Human-AI Collaboration and Adaptation Framework. This model was then validated using Partial Least Squares–Structural Equation Modeling based on data from 183 software engineers. Findings indicate that at this early stage of AI integration, the compatibility of AI tools within existing development workflows predominantly drives their adoption, challenging conventional technology acceptance theories. The impact of perceived usefulness, social factors, and personal innovativeness seems less pronounced than expected. The study provides crucial insights for future AI tool design and offers a framework for developing effective organizational implementation strategies.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_contextual,Survey or qualitative evidence retained to interpret adoption and workflow context,,
JR-234,On Developers’ Self-Declaration of AI-Generated Code: An Analysis of Practices,2026,ACM Transactions on Software Engineering and Methodology,1049-331X,10.1145/3771937,https://doi.org/10.1145/3771937,J03,candidate,AI-coding and software-development markers present,unique_for_screening,"AI code generation tools have gained significant popularity among developers, who use them to assist in software development due to their capability to generate code. Existing studies mainly explored the quality, e.g., correctness and security, of AI-generated code, while in real-world software development, the prerequisite is to distinguish AI-generated code from human-written code, which emphasizes the need to explicitly declare AI-generated code by developers. To this end, this study intends to understand the ways developers use to self-declare AI-generated code and explore the reasons why developers choose to self-declare or not. We conducted a mixed-method study consisting of two phases. In the first phase, we mined GitHub repositories and collected 613 instances of AI-generated code snippets. In the second phase, we conducted a follow-up practitioners’ survey, which received 111 valid responses. Our research revealed the practices followed by developers to self-declare AI-generated code. Most practitioners (76.6%) always or sometimes self-declare AI-generated code. In contrast, other practitioners (23.4%) noted that they never self-declare AI-generated code. The reasons for self-declaring AI-generated code include the need to track and monitor the code for future review and debugging, and ethical considerations. The reasons for not self-declaring AI-generated code include extensive modifications to AI-generated code and the developers’ perception that self-declaration is an unnecessary activity. We finally provided guidelines for practitioners to self-declare AI-generated code, addressing ethical and code quality concerns.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-101,moderate
JR-292,The Impact of LLM-Assistants on Software Developer Productivity: A Systematic Review and Mapping Study,2026,ACM Transactions on Software Engineering and Methodology,1049-331X,10.1145/3809494,https://doi.org/10.1145/3809494,J03,candidate,AI-coding and software-development markers present,unique_for_screening,"Large language model assistants (LLM-assistants) present new opportunities to transform software development. Developers are increasingly adopting these tools across tasks, including coding, testing, debugging, documentation, and design. Yet, despite growing interest, there is no synthesis of how LLM-assistants affect software developer productivity. In this paper, we present a systematic review and mapping of 39 peer-reviewed studies published between January 2014 and December 2024 that examine this impact. Our analysis reveals that the majority of studies report considerable benefits from LLM-assistants, though a notable subset identifies critical risks. Commonly reported gains include accelerated development, minimized code search, and the automation of trivial and repetitive tasks. However, studies also highlight concerns around cognitive offloading and reduced team collaboration. Our study reveals that whether LLM-based assistants improve or degrade code quality remains unresolved, as existing studies report contradictory outcomes contingent on context and evaluation criteria. While the majority of studies (90%) adopt a multi-dimensional perspective by examining at least two SPACE dimensions, reflecting increased awareness of the complexity of developer productivity, only 15% extend beyond three dimensions, indicating substantial room for more integrated evaluations. Satisfaction, Performance, and Efficiency are the most frequently investigated dimensions, whereas Communication and Activity remain underexplored. Most studies are exploratory (59%) and methodologically diverse, but lack longitudinal and team-based evaluations. This review surfaces key research gaps and provides recommendations for future research and practice. All artifacts associated with this study are publicly available at https://zenodo.org/records/18489222 .",seek_full_text,"Potentially eligible developer, team or repository evidence",replace_existing_synthesis,Peer-reviewed journal version replaces the included preprint,,
JR-307,Unveiling the Role of ChatGPT in Software Development: Insights from Developer-ChatGPT Interactions on GitHub,2026,ACM Transactions on Software Engineering and Methodology,1049-331X,10.1145/3798163,https://doi.org/10.1145/3798163,J03,candidate,AI-coding and software-development markers present,unique_for_screening,"The advent of Large Language Models (LLMs) has introduced a new paradigm in Software Engineering (SE), with generative AI tools like ChatGPT gaining widespread adoption among developers. While ChatGPT’s potential has been extensively discussed, empirical evidence about how developers actually use LLMs’ assistance in real-world practices remains limited. To bridge this gap, we conducted a large-scale empirical analysis of ChatGPT usage on GitHub, and we presented DevChat, a curated dataset of 2,547 publicly shared ChatGPT conversation links collected from GitHub between May 2023 and June 2024. Through comprehensively analyzing DevChat, we explored the characteristics of developer–ChatGPT interaction patterns and identified five key categories of developers’ purposes of using developer-ChatGPT conversations during software development. Additionally, we investigated the dominant development-related activities in which ChatGPT is used, and presented a mapping framework that links GitHub data sources, development-related activities, and SE tasks. The findings show that interactions are typically short and task-focused (most are 1-3 turns); developers share conversations mainly to delegate tasks, resolve problems, and acquire knowledge, revealing five purpose categories; ChatGPT is most frequently engaged for Software Implementation and Maintenance & Evolution ; we identified 39 fine-grained SE tasks supported by ChatGPT, with Code Generation & Completion as well as Code modification & Optimization being the most prominent. Our study offers a comprehensive mapping of ChatGPT’s applications in real-world software development scenarios and provides a foundation for understanding LLMs’ practical roles in software development.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-103,moderate
JR-362,AI support for data scientists: An empirical study on workflow and alternative code recommendations,2025,Empirical Software Engineering,1382-3256,10.1007/s10664-025-10622-4,https://doi.org/10.1007/s10664-025-10622-4,J01,candidate,AI-coding and software-development markers present,unique_for_screening,"Abstract Despite the popularity of AI assistants for coding activities, there is limited empirical work on whether these coding assistants can help users complete data science tasks. Moreover, in data science programming, exploring alternative paths has been widely advocated, as such paths may lead to diverse understandings and conclusions (Gelman and Loken 2013; Kale et al. 2019). Whether existing AI-based coding assistants can support data scientists in exploring the relevant alternative paths remains unexplored. To fill this gap, we conducted a mixed-methods study to understand how data scientists solved different data science tasks with the help of an AI-based coding assistant that provides explicit alternatives as recommendations throughout the data science workflow. Specifically, we quantitatively investigated whether the users accept the code recommendations, including alternative recommendations, by the AI assistant and whether the recommendations are helpful when completing descriptive and predictive data science tasks. Through the empirical study, we also investigated if including information about the data science step (e.g., data exploration) they seek recommendations for in a prompt leads to helpful recommendations. In our study, we found that including the data science step in a prompt had a statistically significant improvement in the acceptance of recommendations, whereas the presence of alternatives did not lead to any significant differences. Our study also shows a statistically significant difference in the acceptance and usefulness of recommendations between descriptive and predictive tasks. Participants generally had positive sentiments regarding AI assistance and our proposed interface. We share further insights on the interactions that emerged during the study and the challenges that our users encountered while solving their data science tasks.",seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-104,moderate
JR-370,An empirical study on developers’ shared conversations with ChatGPT in GitHub pull requests and issues,2024,Empirical Software Engineering,1382-3256,10.1007/s10664-024-10540-x,https://doi.org/10.1007/s10664-024-10540-x,J01,candidate,AI-coding and software-development markers present,unique_for_screening,,seek_full_text,"Potentially eligible developer, team or repository evidence",include_adjacent,"Primary study of review, quality, security, skills, adoption or interaction",ST-105,moderate
