existing_category,study_id,title,url
empirical,ST-01,How much does AI impact development speed?,https://arxiv.org/abs/2410.12944
empirical,ST-02,The Effects of Generative AI on High-Skilled Work,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2025.00535
empirical,ST-03,"Rocks Coding, Not Development: A Human-Centric, Experimental Evaluation of LLM-Supported SE Tasks",https://arxiv.org/abs/2402.05650
empirical,ST-04,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,https://arxiv.org/abs/2507.09089
empirical,ST-05,From Assistants to Agents: Exploring Efficiency and Human Agency in AI-Supported Programming,https://aisel.aisnet.org/pacis2026/ai_fow/ai_fow/13/
empirical,ST-06,The Impact of AI Tool on Engineering at ANZ Bank,https://arxiv.org/abs/2402.05636
empirical,ST-07,Significant Productivity Gains through Programming with Large Language Models,https://doi.org/10.1145/3661145
empirical,ST-08,"More Code, Less Understanding? On the Impact of AI Assistants on Developers’ Productivity and Code Ownership",https://doi.org/10.1109/TSE.2026.3679627
empirical,ST-09,Using an LLM to Help With Code Understanding,https://research.google/pubs/using-an-llm-to-help-with-code-understanding/
empirical,ST-10,ClueBot: A Conversational Agent to Assist in JavaScript Programming,https://doi.org/10.1145/3702163.3702168
empirical,ST-11,Writing Code vs. Shipping Code: The Impact of AI on Software Development,https://www.nber.org/papers/w35275
empirical,ST-12,The Global Diffusion and Impact of Artificial Intelligence Writing Code,https://doi.org/10.1126/science.adz9311
empirical,ST-13,Generative AI and the Nature of Work,https://mackinstitute.wharton.upenn.edu/wp-content/uploads/2025/04/WTIC.2025_Nagle-Frank_Generative-AI.pdf
empirical,ST-14,The Impact of Generative AI on Collaborative Open-Source Software Development,https://arxiv.org/abs/2410.02091v1
empirical,ST-15,The Impact of Generative AI on Software Development: Evidence from GitHub Copilot X,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5100609
empirical,ST-16,The Productivity Effects of Generative AI: Evidence from a Workplace Deployment of an AI Coder,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6515379
empirical,ST-17,The Impact of Generative AI on Open-Source Software Development,https://arxiv.org/abs/2409.08379
empirical,ST-18,Generative AI and labour productivity: a field experiment on coding,https://www.bis.org/publ/work1208.htm
empirical,ST-19,The Effects of GitHub Copilot on Computing Students in Brownfield Programming Tasks,https://arxiv.org/abs/2506.10051
empirical,ST-20,Comprehension–Performance Gap in GenAI-Assisted Brownfield Programming,https://arxiv.org/abs/2511.02922
empirical,ST-21,"Less Effort, More Productivity: Lessons Learned from Developing Millions of Lines of Code with Large Language Model",https://doi.org/10.1145/3786583.3786872
empirical,ST-22,Speed at the Cost of Quality? The Impact of LLM Agent Assistance on Software Development,https://arxiv.org/abs/2511.04427
empirical,ST-23,Multi-line AI-assisted Code Authoring,https://arxiv.org/abs/2402.04141
empirical,ST-24,Does GenAI Improve Software Developer Productivity?,https://uplevelteam.com/blog/genai-developers
empirical,ST-25,Longitudinal GitHub Copilot Adoption at NAV IT,https://arxiv.org/abs/2509.20353
empirical,ST-26,Longitudinal Multi-case Study of AI-assisted Agile Teams,https://arxiv.org/abs/2602.13766
empirical,ST-27,Echoes of AI: Investigating the downstream effects of AI assistants on software maintainability,https://link.springer.com/article/10.1007/s10664-026-10889-1
empirical,ST-28,Harnessing the Potential of Gen-AI Coding Assistants in Public Sector Software Development,https://arxiv.org/abs/2409.17434
empirical,ST-29,Pioneering the Agentic Shift Within Salesforce Engineering,https://www.salesforce.com/news/stories/how-engineering-became-agentic/
empirical,ST-30,How AI Is Transforming Work at Anthropic,https://www.anthropic.com/research/how-ai-is-transforming-work-at-anthropic
empirical,ST-31,How frontier teams are reinventing AI-native development,https://aws.amazon.com/blogs/machine-learning/how-frontier-teams-are-reinventing-ai-native-development/
empirical,ST-32,AI Coding Assistant Trial: UK Public Sector Findings,https://www.gov.uk/government/publications/ai-coding-assistant-trial
empirical,ST-33,AI-assisted Code Authoring at Scale,https://doi.org/10.1145/3643774
empirical,ST-34,The AI Productivity Paradox,https://www.faros.ai/blog/ai-software-engineering
empirical,ST-35,AI Acceleration Whiplash,https://www.faros.ai/research/ai-acceleration-whiplash
empirical,ST-36,"State of AI-assisted Engineering, Q4 2025",https://getdx.com/report/ai-assisted-engineering-q4-impact-report/
empirical,ST-37,Are AI Coding Tools Making Companies More Productive?,https://jellyfish.co/blog/are-ai-coding-tools-making-companies-more-productive/
empirical,ST-38,AI-First Engineering: How Cisco Reached Tech Debt Zero,https://www.sonarsource.com/blog/ai-first-engineering-cisco/
