venue_id,journal,issn,search_date,publication_start,publication_end,records_enumerated,crossref_total_results
J01,Empirical Software Engineering,1382-3256,2026-07-31,2022-01-01,2026-07-31,859,859
J02,IEEE Transactions on Software Engineering,0098-5589,2026-07-31,2022-01-01,2026-07-31,1145,1145
J03,ACM Transactions on Software Engineering and Methodology,1049-331X,2026-07-31,2022-01-01,2026-07-31,1238,1238
J04,Journal of Systems and Software,0164-1212,2026-07-31,2022-01-01,2026-07-31,1205,1205
J05,Information and Software Technology,0950-5849,2026-07-31,2022-01-01,2026-07-31,980,980
J06,IEEE Software,0740-7459,2026-07-31,2022-01-01,2026-07-31,978,978
J07,Automated Software Engineering,0928-8910,2026-07-31,2022-01-01,2026-07-31,331,331
J08,Software Quality Journal,0963-9314,2026-07-31,2022-01-01,2026-07-31,197,197
J09,Journal of Software: Evolution and Process,2047-7481,2026-07-31,2022-01-01,2026-07-31,514,514
J10,Software: Practice and Experience,0038-0644,2026-07-31,2022-01-01,2026-07-31,475,475
J11,Science of Computer Programming,0167-6423,2026-07-31,2022-01-01,2026-07-31,480,480
J12,Requirements Engineering,0947-3602,2026-07-31,2022-01-01,2026-07-31,97,97
J13,ACM Transactions on Computing Education,1946-6226,2026-07-31,2022-01-01,2026-07-31,292,292
J14,IEEE Transactions on Dependable and Secure Computing,1545-5971,2026-07-31,2022-01-01,2026-07-31,2000,2000
J15,ACM Transactions on Privacy and Security,2471-2566,2026-07-31,2022-01-01,2026-07-31,204,204
