journal_record_id,title,publication_year,journal,issn,doi,url,within_search_venues,automated_screen,automated_reason,dedupe_status,abstract,human_decision,title_abstract_reason,full_text_decision,full_text_reason,study_id,evidence_weight
JR-001,A Survey on Feedback Types in Automated Programming Assessment Systems,2025,ACM Transactions on Computing Education,1946-6226,10.1145/3773911,https://doi.org/10.1145/3773911,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"With the recent rapid increase in digitization across all major industries, acquiring programming skills has increased the demand for introductory programming courses. This has further resulted in universities integrating programming courses into a wide range of curricula, including not only technical studies but also business and management fields of study. Consequently, additional resources are needed for teaching, grading, and tutoring students with diverse educational backgrounds and skills. As part of this, Automated Programming Assessment Systems (APASs) have emerged, providing scalable and high-quality assessment systems with efficient evaluation and instant feedback. Commonly, APASs heavily rely on predefined unit tests for generating feedback, which often limits the scope and level of detail of feedback that can be provided to students. With the rise of Large Language Models (LLMs) in recent years, new opportunities have emerged as these technologies can enhance feedback quality and personalization. To investigate how different feedback mechanisms in APASs are perceived by students, and how effective they are in supporting problem-solving, we have conducted a large-scale study with over 200 students from 2 different universities. Specifically, we compare baseline Compiler Feedback, standard Unit Test Feedback, and advanced LLM-based Feedback regarding perceived quality and impact on student performance. Results indicate that while students rate Unit Test Feedback as the most helpful, AI-generated feedback leads to significantly better performances. These findings suggest combining unit tests and AI-driven guidance to optimize automated feedback mechanisms and improve learning outcomes in programming education.",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
JR-002,A Systematic Literature Review of the Use of GenAI Assistants for Code Comprehension: Implications for Computing Education Research and Practice,2026,ACM Transactions on Computing Education,1946-6226,10.1145/3785366,https://doi.org/10.1145/3785366,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"The ability to comprehend code has long been recognized as an essential skill in software engineering. As programmers lean more heavily on Generative AI (GenAI) assistants to develop code solutions, it is becoming increasingly important for programmers to comprehend GenAI solutions so that they can verify their appropriateness and properly integrate them into existing code. At the same time, GenAI tools are increasingly being enlisted to provide programmers with tailored explanations of code written both by GenAI and humans. Thus, in computing education, GenAI presents new challenges and opportunities for learners who are trying to comprehend computer programs. To provide computing educators with evidence-based guidance on the use of GenAI to facilitate code comprehension and to identify directions for future research, we present a Systematic Literature Review (SLR) of state-of-the-art approaches and tools that leverage GenAI to enhance code comprehension. Our SLR focuses on 31 studies published between 2022 and 2024. Despite their potential, GenAI assistants often yield inaccurate or unclear explanations, and novice programmers frequently struggle to craft effective prompts, thereby impeding their ability to leverage GenAI to aid code comprehension. Our review classifies GenAI-based approaches and tools, identifies methods used to study them, and summarizes the empirical evaluations of their effectiveness. We consider the implications of our findings for computing education research and practice, and identify directions for future research.",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
JR-003,AI Governance in Computing Education: Toward Discipline-Aware Academic Integrity Policies,2026,ACM Transactions on Computing Education,1946-6226,10.1145/3813116,https://doi.org/10.1145/3813116,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"Generative AI (GenAI) systems, particularly large language models (LLMs), are rapidly transforming the technological environment in which higher education operates. Universities have responded with a wide range of policies, from strict prohibition to unrestricted adoption, often without considering how learning processes differ across academic disciplines. In this opinion piece, I argue that computing education represents a special case within the broader debate on AI in education. In my view, programming learning occurs within artifact-centered environments where students routinely interact with code repositories, libraries, and documentation. As a result, students develop expertise through the study, adaptation, and integration of existing computational artifacts. I, therefore, contend that GenAI expands an existing ecosystem of learning artifacts rather than introducing an entirely new form of assistance. Building on this observation, I propose a discipline-aware policy framework for AI use in computing education. This framework advances five principles for AI governance in programming courses: learning-centered policy design, transparency and disclosure of AI use, tiered assignment-level AI permissions, evidence-based integrity evaluation, and equitable access to AI tools. I further argue that effective policy cannot rely solely on institutional rules or AI-detection mechanisms. Instead, scalable educational infrastructure—including code provenance tracking, conversational code explanations, and AI-assisted oral checks—is necessary to make policy implementation operational in large and online computing courses. By bringing together insights from learning theory, computing education research, and institutional governance, I offer a forward-looking view of AI policy that aligns technological capabilities with pedagogical goals. Rather than treating GenAI solely as a threat to academic integrity, I frame AI governance as a design problem: ensuring that AI-assisted tools support student reasoning and conceptual engagement within modern programming learning environments.",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
JR-004,Can Students without Prior Knowledge Use ChatGPT to Answer Test Questions? An Empirical Study,2023,ACM Transactions on Computing Education,1946-6226,10.1145/3628162,https://doi.org/10.1145/3628162,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"With the immense interest in ChatGPT worldwide, education has seen a mix of both excitement and skepticism. To properly evaluate its impact on education, it is crucial to understand how far it can help students without prior knowledge answer assessment questions. This study aims to address this question as well as the impact of the question type. We conducted multiple experiments with computer engineering students (experiment group: n =41 to 56), who were asked to use ChatGPT to answer previous test questions before learning about the related topics. Their scores were then compared with the scores of previous-term students who answered the same questions in a quiz or exam setting (control group: n =24 to 61). The results showed a wide range of effect sizes, from -2.55 to 1.23, depending on the question type and content. The experiment group performed best answering code analysis and conceptual questions but struggled with code completion and questions that involved images. However, the performance in code generation tasks was inconsistent. Overall, the ChatGPT group’s answers lagged slightly behind the control group’s answers with an effect size of -0.16. We conclude that ChatGPT, at least in the field of this study, is not yet ready to rely on by students who do not have sufficient background to evaluate generated answers. We suggest that educators try using ChatGPT and educate students on effective questioning techniques and how to assess the generated responses. This study provides insights into the capabilities and limitations of ChatGPT in education and informs future research and development.",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
JR-005,Did Alice Do Wrong? Cross-Cultural Differences in Student Perceptions of Generative AI Use in University Computing Education,2025,ACM Transactions on Computing Education,1946-6226,10.1145/3776558,https://doi.org/10.1145/3776558,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"The rise of generative AI (GenAI) in higher education has prompted urgent debates surrounding academic integrity and ethical use. This study examines cross-cultural differences in student perceptions of GenAI use, comparing responses from students at Canadian and South Korean universities. Using a scenario-based survey administered in Fall 2024, we analyzed how students judged the ethicality and rule compliance of AI-assisted coding practices. Results reveal that Canadian students were consistently more likely to perceive the use of GenAI as both unethical and against institutional policies compared to Korean students, despite functionally identical institutional policies. Statistical analysis, including Mann-Whitney U tests and correlation coefficients, demonstrated significant differences across nearly all scenarios. Analysis of the factors used in generating scenarios indicated that the amount of AI-generated code incorporated into assignments most strongly influenced ethical judgments. Findings were interpreted through Hofstede’s cultural dimensions framework, suggesting that cultural factors such as power distance, individualism, and uncertainty avoidance significantly shape students’ ethical reasoning regarding GenAI. Our results contribute to the growing body of evidence emphasizing that equitable AI integration in education must be culturally responsive, taking into account diverse conceptions of academic integrity. We advocate for the development of nuanced AI-use guidelines that are sensitive to local cultural contexts while upholding fundamental principles of academic honesty. This study highlights the need for ongoing cross-cultural research to inform ethical AI policies and support responsible GenAI use in global higher education settings.",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
JR-006,Evaluating ChatGPT-4 Vision on Brazil's National Undergraduate Computer Science Exam,2024,ACM Transactions on Computing Education,1946-6226,10.1145/3674149,https://doi.org/10.1145/3674149,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"The recent integration of visual capabilities into Large Language Models (LLMs) has the potential to play a pivotal role in science and technology education, where visual elements such as diagrams, charts, and tables are commonly used to improve the learning experience. This study investigates the performance of ChatGPT-4 Vision, OpenAI’s most advanced visual model at the time the study was conducted, on the Bachelor in Computer Science section of Brazil’s 2021 National Undergraduate Exam (ENADE). By presenting the model with the exam’s open and multiple-choice questions in their original image format and allowing for reassessment in response to differing answer keys, we were able to evaluate the model’s reasoning and self-reflecting capabilities in a large-scale academic assessment involving textual and visual content. ChatGPT-4 Vision significantly outperformed the average exam participant, positioning itself within the top 10 best score percentile. While it excelled in questions that incorporated visual elements, it also encountered challenges with question interpretation, logical reasoning, and visual acuity. A positive correlation between the model’s performance in multiple-choice questions and the performance distribution of the human participants suggests multimodal LLMs can provide a useful tool for question testing and refinement. However, the involvement of an independent expert panel to review cases of disagreement between the model and the answer key revealed some poorly constructed questions containing vague or ambiguous statements, calling attention to the critical need for improved question design in future exams. Our findings suggest that while ChatGPT-4 Vision shows promise in multimodal academic evaluations, human oversight remains crucial for verifying the model’s accuracy and ensuring the fairness of high-stakes educational exams. The paper’s research materials are publicly available at https://github.com/nabormendonca/gpt-4v-enade-cs-2021 .",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
JR-007,Evaluating the Effectiveness of AI Integration in Software Engineering Education,2026,ACM Transactions on Computing Education,1946-6226,10.1145/3802825,https://doi.org/10.1145/3802825,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"Objectives : The rapid spread of AI—especially Large Language Models (LLMs)—is reshaping software engineering and raising questions for education. We examine the effectiveness of integrating AI into software engineering education. Participants : This study involved 48 undergraduate students enrolled in a junior-level software engineering course. Study Methods : We implemented an intervention, aligned with ACM/IEEE curriculum guidelines, that integrates an LLM-based prompt session with a conventional lecture. The lecture introduces the topic and explicit strategies for prompt design; the prompt session engages students in constructing, running, and iteratively refining prompts, analyzing LLM outputs, and reflecting on outcomes. A structured prompt-design framework is adopted to standardize context, inputs, tasks, and expected outputs to ensure clarity and consistent engagement. Findings : A pilot in a junior-level course showed modest gains over lecture alone: on survey items repeated immediately after the lecture (before the prompt session) and again after the prompt session, scores improved by an average of 4.19%. Students rated the approach favorably, with scores ranging from 3.78 to 4.16 and an overall average of 4.02 out of 5, with the largest gains in prompt-construction skills, rising by 7.01%. By contrast, gains in identifying incorrect LLM outputs were only 3.67%, and improvements in understanding LLM limitations were just 2.22%. Conclusions : Embedding LLM prompt sessions can supplement software engineering instruction but, in the study setting, produced limited benefits. The findings suggest that LLMs should be positioned as supportive tools, with emphasis on prompt design, critical evaluation of outputs, and expanded time for hands-on practice and assessment. Future work should include controlled, longer-term studies and alignment with industry needs to determine when and how LLM integration measurably improves learning outcomes.",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
JR-008,"Fragmented Infrastructures, Fragmented Learners: The Case for Integrated, Longitudinal Learning Ecosystems in Computing Education",2026,ACM Transactions on Computing Education,1946-6226,10.1145/3811544,https://doi.org/10.1145/3811544,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"Undergraduate computing education is uniquely shaped by heterogeneous technical infrastructures: students move across programming languages, operating systems, IDEs, auto-graders, version-control platforms, and increasingly large language model (LLM)-mediated tools. These systems generate rich but fragmented learning traces that remain isolated within course-bound platforms, limiting observability of how debugging practices, abstraction strategies, and conceptual understanding evolve across the curriculum. Although intelligent tutoring systems (ITS) and AI-enabled assessment tools show promise within individual contexts, their impact is typically localized, lacking semantic interoperability and continuity across languages and courses. Drawing on research in self-regulated learning, conceptual transfer, and identity formation in computing, this article argues that infrastructural fragmentation constrains longitudinal development of computational expertise. We advance a computing-specific vision of integrated learning ecosystems in which execution histories, feedback artifacts, repository data, and learner models are preserved and interoperable across contexts, enabling trajectory-level inquiry into expertise development over time. We conclude by outlining discipline-centered research challenges for building coherent computing education infrastructures.",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
JR-009,Howzat? Appealing to Expert Judgement for Evaluating Human and AI Next-Step Hints for Novice Programmers,2025,ACM Transactions on Computing Education,1946-6226,10.1145/3737885,https://doi.org/10.1145/3737885,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"Motivation : Students learning to program often reach states where they are stuck and can make no forward progress—but this may be outside the classroom where no instructor is available to help. In this situation, an automatically generated next-step hint can help them make forward progress and support their learning. It is important to know what makes a good hint or a bad hint, and how to generate good hints automatically in novice programming tools, for example, using large language models (LLMs). Method and Participants : We recruited 44 Java educators from around the world to participate in an online study. We used a set of real student code states as hint-generation scenarios. Participants used a technique known as comparative judgement to rank a set of candidate next-step Java hints, which were generated by LLMs and by five human experienced educators. Participants ranked the hints without being told how they were generated. The hints were generated with no explicit detail given to the LLMs/humans on what the target task was. Participants then filled in a survey with follow-up questions. The ranks of the hints were analysed against a set of extracted hint characteristics using a random forest approach. Findings : We found that LLMs had considerable variation in generating high quality next-step hints for programming novices, with GPT-4 outperforming other models tested. When used with a well-designed prompt, GPT-4 outperformed human experts in generating pedagogically valuable hints. A multi-stage prompt was the most effective LLM prompt. According to a fitted random forest model, the two most important factors of a good hint were length (80–160 words being best) and reading level (US grade nine or below being best). Offering alternative approaches to solving the problem was considered bad, and we found no effect of sentiment. Conclusions : Automatic generation of these hints is immediately viable, given that LLMs outperformed humans—even when the students’ task is unknown. Hint length and reading level were more important than several pedagogical features of hints. The fact that it took a group of experts several rounds of experimentation and refinement to design a prompt that achieves this outcome suggests that students on their own are unlikely to be able to produce the same benefit. The prompting task, therefore, should be embedded in an expert-designed tool.",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
JR-010,"LLMs Integration in Software Engineering Team Projects: Roles, Impact, and a Pedagogical Design Space for AI Tools in Computing Education",2026,ACM Transactions on Computing Education,1946-6226,10.1145/3779296,https://doi.org/10.1145/3779296,J13,candidate,AI-coding and software-development markers present,unique_for_screening,"This work takes a pedagogical lens to explore the implications of generative AI (GenAI) models and tools, such as ChatGPT and GitHub Copilot, in a semester-long 2nd-year undergraduate software engineering team project. Qualitative findings from a survey (39 students) and interviews (eight students) provide insights into the students' views on the impact of GenAI use on their coding experience, learning, and self-efficacy. Our results address a particular gap in understanding the role and implications of GenAI on teamwork, team-efficacy, and team dynamics. The analysis of the learning aspects is distinguished by the application of learning- and pedagogy-informed lenses to discuss the data. We propose a preliminary design space for GenAI-based programming learning tools highlighting the importance of considering the roles that GenAI can play during the learning process, the scaffolding support that can be applied to each role, and the importance of supporting transparency in GenAI for team members and students in addition to educators.",exclude_title_abstract,"No eligible developer, team or repository workflow outcome indicated",,,,
