study_id,title,effect_ids,evidence_stream,evidence_weight,overall_risk_of_bias,appraisal_instrument,weight_basis,main_limitation,grade_source,assessment_date
ST-01,How much does AI impact development speed?,E-01,productivity/delivery,high,Some concerns,RoB 2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The objective time outcome is direct, but the small field sample produces imprecision rather than additional bias.",operating-model-audit.csv,2026-08-04
ST-02,The Effects of Generative AI on High-Skilled Work,E-02,productivity/delivery,high,Some concerns,RoB 2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,Three company experiments improve replication; treatment awareness and company-specific implementation can still affect behaviour.,operating-model-audit.csv,2026-08-04
ST-03,"Rocks Coding, Not Development: A Human-Centric, Experimental Evaluation of LLM-Supported SE Tasks",E-03,productivity/delivery,high,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",operating-model-audit.csv,2026-08-04
ST-04,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,E-04,productivity/delivery,high,Some concerns,RoB 2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"Randomised task allocation is strong, although participants could not be blinded and estimated task time is partly behavioural.",operating-model-audit.csv,2026-08-04
ST-05,From Assistants to Agents: Exploring Efficiency and Human Agency in AI-Supported Programming,E-05,productivity/delivery,high,High,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The comparison is weakly controlled or materially confounded, and incomplete reporting prevents the observed difference from being attributed securely to AI assistance.",operating-model-audit.csv,2026-08-04
ST-06,The Impact of AI Tool on Engineering at ANZ Bank,E-06,productivity/delivery,high,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",operating-model-audit.csv,2026-08-04
ST-07,Significant Productivity Gains through Programming with Large Language Models,E-07,productivity/delivery,high,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",operating-model-audit.csv,2026-08-04
ST-08,"More Code, Less Understanding? On the Impact of AI Assistants on Developers’ Productivity and Code Ownership",E-08,productivity/delivery,high,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",operating-model-audit.csv,2026-08-04
ST-09,Using an LLM to Help With Code Understanding,E-09,productivity/delivery,moderate,High,RoB 2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,The source itself reports high risk of bias; crossover carry-over and condition adherence are material concerns.,operating-model-audit.csv,2026-08-04
ST-10,ClueBot: A Conversational Agent to Assist in JavaScript Programming,E-10,productivity/delivery,moderate,Some concerns,RoB 2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"Random allocation supports comparability, but open-label tool use and incomplete information about prespecified analysis leave residual concerns.",operating-model-audit.csv,2026-08-04
