assessment_id,study_id,effect_ids,evidence_stream,title,url,target_results,instrument,instrument_version,profile,domain_1,domain_2,domain_3,domain_4,domain_5,domain_6,domain_7,domain_8,domain_9,domain_10,overall_risk_of_bias,study_specific_note,decision_rationale,appraisal_basis,assessor,assessment_date
RB-ST-01,ST-01,E-01,productivity/delivery,How much does AI impact development speed?,https://arxiv.org/abs/2410.12944,Google enterprise RCT — task time; reported effect: 21% less time,RoB 2,22 August 2019,rob2_some,Randomisation process: Low,Deviations from intended intervention: Some concerns,Missing outcome data: Low,Outcome measurement: Low,Selection of reported result: Some concerns,,,,,,Some concerns,"The objective time outcome is direct, but the small field sample produces imprecision rather than additional bias.","Random allocation supports comparability, but open-label tool use and incomplete information about prespecified analysis leave residual concerns.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-02,ST-02,E-02,productivity/delivery,The Effects of Generative AI on High-Skilled Work,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2025.00535,Microsoft/Accenture/F100 — completed tasks; reported effect: +26.08%,RoB 2,22 August 2019,rob2_some,Randomisation process: Low,Deviations from intended intervention: Some concerns,Missing outcome data: Low,Outcome measurement: Low,Selection of reported result: Some concerns,,,,,,Some concerns,Three company experiments improve replication; treatment awareness and company-specific implementation can still affect behaviour.,"Random allocation supports comparability, but open-label tool use and incomplete information about prespecified analysis leave residual concerns.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-03,ST-03,E-03,productivity/delivery,"Rocks Coding, Not Development: A Human-Centric, Experimental Evaluation of LLM-Supported SE Tasks",https://arxiv.org/abs/2402.05650,"Rocks Coding, Not Development — task performance; reported effect: Coding gain; no development-task gain",JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_some,Cause and effect clear: Yes,Participants compared similarly: Unclear,Control group present: Yes,Repeated pre/post measures: Unclear,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Yes,Analysis appropriate: Yes,,,Some concerns,,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-04,ST-04,E-04,productivity/delivery,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,https://arxiv.org/abs/2507.09089,METR — mature-repository task time; reported effect: 19% slower,RoB 2,22 August 2019,rob2_some,Randomisation process: Low,Deviations from intended intervention: Some concerns,Missing outcome data: Low,Outcome measurement: Low,Selection of reported result: Some concerns,,,,,,Some concerns,"Randomised task allocation is strong, although participants could not be blinded and estimated task time is partly behavioural.","Random allocation supports comparability, but open-label tool use and incomplete information about prespecified analysis leave residual concerns.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-05,ST-05,E-05,productivity/delivery,From Assistants to Agents: Exploring Efficiency and Human Agency in AI-Supported Programming,https://aisel.aisnet.org/pacis2026/ai_fow/ai_fow/13/,PACIS assistant–agent trial — completion time; reported effect: 61.7% less time,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_high,Cause and effect clear: Yes,Participants compared similarly: No,Control group present: Unclear,Repeated pre/post measures: No,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Unclear,Analysis appropriate: Unclear,,,High,,"The comparison is weakly controlled or materially confounded, and incomplete reporting prevents the observed difference from being attributed securely to AI assistance.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-06,ST-06,E-06,productivity/delivery,The Impact of AI Tool on Engineering at ANZ Bank,https://arxiv.org/abs/2402.05636,ANZ Bank — Python-task completion; reported effect: 42.3% less time,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_some,Cause and effect clear: Yes,Participants compared similarly: Unclear,Control group present: Yes,Repeated pre/post measures: Unclear,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Yes,Analysis appropriate: Yes,,,Some concerns,,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-07,ST-07,E-07,productivity/delivery,Significant Productivity Gains through Programming with Large Language Models,https://doi.org/10.1145/3661145,Weber et al. — requirements per minute; reported effect: Significant increase,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_some,Cause and effect clear: Yes,Participants compared similarly: Unclear,Control group present: Yes,Repeated pre/post measures: Unclear,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Yes,Analysis appropriate: Yes,,,Some concerns,,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-08,ST-08,E-08,productivity/delivery,"More Code, Less Understanding? On the Impact of AI Assistants on Developers’ Productivity and Code Ownership",https://doi.org/10.1109/TSE.2026.3679627,"More Code, Less Understanding — task completeness; reported effect: >2× median completeness",JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_some,Cause and effect clear: Yes,Participants compared similarly: Unclear,Control group present: Yes,Repeated pre/post measures: Unclear,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Yes,Analysis appropriate: Yes,,,Some concerns,,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-09,ST-09,E-09,productivity/delivery,Using an LLM to Help With Code Understanding,https://research.google/pubs/using-an-llm-to-help-with-code-understanding/,GILT — code-understanding progress; reported effect: +0.47 subtasks; no time gain,RoB 2,22 August 2019,rob2_high,Randomisation process: Some concerns,Deviations from intended intervention: High,Missing outcome data: Some concerns,Outcome measurement: Some concerns,Selection of reported result: Some concerns,,,,,,High,The source itself reports high risk of bias; crossover carry-over and condition adherence are material concerns.,"The crossover comparison is vulnerable to carry-over and differential tool use, while missingness and outcome interpretation could materially change the result.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-10,ST-10,E-10,productivity/delivery,ClueBot: A Conversational Agent to Assist in JavaScript Programming,https://doi.org/10.1145/3702163.3702168,ClueBot — JavaScript time and errors; reported effect: Less time; fewer errors,RoB 2,22 August 2019,rob2_some,Randomisation process: Low,Deviations from intended intervention: Some concerns,Missing outcome data: Low,Outcome measurement: Low,Selection of reported result: Some concerns,,,,,,Some concerns,,"Random allocation supports comparability, but open-label tool use and incomplete information about prespecified analysis leave residual concerns.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-11,ST-11,E-11,productivity/delivery,Writing Code vs. Shipping Code: The Impact of AI on Software Development,https://www.nber.org/papers/w35275,"Writing Code vs. Shipping Code — commits, releases and use; reported effect: Releases ≈+10%, +20%, +30% by generation",ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,"Matching cannot eliminate differences in adoption timing, developer motivation, project maturity or concurrent tooling.","AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-12,ST-12,E-12,productivity/delivery,The Global Diffusion and Impact of Artificial Intelligence Writing Code,https://doi.org/10.1126/science.adz9311,Global diffusion and impact — quarterly contributions; reported effect: +3.6%,ROBINS-I V2,"draft, 20 November 2025",robins_serious_measurement,Confounding: Serious,Classification of intervention: Serious,Selection into study: Moderate,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,"AI authorship is inferred from public code, so exposure misclassification compounds non-random tool use.","Non-random adoption and an inferred or indirect AI-exposure measure create serious confounding and classification risk, despite large-scale outcome telemetry.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-13,ST-13,E-13,productivity/delivery,Generative AI and the Nature of Work,https://mackinstitute.wharton.upenn.edu/wp-content/uploads/2025/04/WTIC.2025_Nagle-Frank_Generative-AI.pdf,Generative AI and the Nature of Work — work allocation; reported effect: +12.37% coding share,ROBINS-I V2,"draft, 20 November 2025",robins_moderate,Confounding: Moderate,Classification of intervention: Low,Selection into study: Moderate,Missing data: Low,Outcome measurement: Low,Selection of reported result: Moderate,,,,,Moderate,,"The quasi-experimental discontinuity or matching strategy addresses major baseline differences, but residual confounding and analysis-selection risk remain.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-14,ST-14,E-14,productivity/delivery,The Impact of Generative AI on Collaborative Open-Source Software Development,https://arxiv.org/abs/2410.02091v1,Collaborative open source — project output and integration; reported effect: +6.5%; integration time +41.6%,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,"Synthetic controls improve the counterfactual, but adoption is inferred and integration changes may have other causes.","AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-15,ST-15,E-15,productivity/delivery,The Impact of Generative AI on Software Development: Evidence from GitHub Copilot X,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5100609,Copilot X — commits and repositories; reported effect: +12% commits; +6% repositories,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,Matched difference-in-differences depends on parallel trends and accurate adoption timing.,"AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-16,ST-16,E-16,productivity/delivery,The Productivity Effects of Generative AI: Evidence from a Workplace Deployment of an AI Coder,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6515379,Workplace AI-coder deployment — productivity index; reported effect: +6.9–8.4%,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,A time discontinuity can be affected by concurrent organisational changes at deployment.,"AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-17,ST-17,E-17,productivity/delivery,The Impact of Generative AI on Open-Source Software Development,https://arxiv.org/abs/2409.08379,Python–R natural experiment — releases and commits; reported effect: +17.82% releases; +51% commits,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,The natural experiment compares ecosystems that may differ independently of Copilot availability.,"AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-18,ST-18,E-18,productivity/delivery,Generative AI and labour productivity: a field experiment on coding,https://www.bis.org/publ/work1208.pdf,Ant Group CodeFuse — code and workflow; reported effect: +55% code; +13–22% workflow,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,"The field setting is valuable, but treatment users were identified and paired with comparable controls rather than randomly assigned.","AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-19,ST-19,E-19,productivity/delivery,The Effects of GitHub Copilot on Computing Students in Brownfield Programming Tasks,https://arxiv.org/abs/2506.10051,Brownfield undergraduate study — task time; reported effect: 34.9% less time,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_some,Cause and effect clear: Yes,Participants compared similarly: Unclear,Control group present: Yes,Repeated pre/post measures: Unclear,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Yes,Analysis appropriate: Yes,,,Some concerns,,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-20,ST-20,E-20,productivity/delivery,Comprehension–Performance Gap in GenAI-Assisted Brownfield Programming,https://arxiv.org/abs/2511.02922,Brownfield replication — time and tests; reported effect: Faster; more tests passed,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_some,Cause and effect clear: Yes,Participants compared similarly: Unclear,Control group present: Yes,Repeated pre/post measures: Unclear,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Yes,Analysis appropriate: Yes,,,Some concerns,,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-21,ST-21,E-21,productivity/delivery,"Less Effort, More Productivity: Lessons Learned from Developing Millions of Lines of Code with Large Language Model",https://doi.org/10.1145/3786583.3786872,PicoScenes — implementation time; reported effect: 68.3% less time,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,ICSE 2026,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-22,ST-22,E-22,productivity/delivery,Speed at the Cost of Quality? The Impact of LLM Agent Assistance on Software Development,https://arxiv.org/abs/2511.04427,"Cursor repositories — velocity; reported effect: Large, transient increase",ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,Repository adoption is selected and the persistent quality outcomes can be affected by changing task mix.,"AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-23,ST-23,E-23,productivity/delivery,Multi-line AI-assisted Code Authoring,https://arxiv.org/abs/2402.04141,Meta multi-line completion — keystrokes saved; reported effect: 9–17%,RoB 2,22 August 2019,rob2_some,Randomisation process: Low,Deviations from intended intervention: Some concerns,Missing outcome data: Low,Outcome measurement: Low,Selection of reported result: Some concerns,,,,,,Some concerns,Meta,"Random allocation supports comparability, but open-label tool use and incomplete information about prespecified analysis leave residual concerns.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-24,ST-24,E-24,productivity/delivery,Does GenAI Improve Software Developer Productivity?,https://uplevelteam.com/blog/genai-developers,Uplevel — PR cycle and throughput; reported effect: No significant change,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,Uplevel Data Labs,"AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-25,ST-25,E-25,productivity/delivery,Longitudinal GitHub Copilot Adoption at NAV IT,https://arxiv.org/abs/2509.20353,NAV — commit activity; reported effect: No significant change,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-26,ST-26,E-26,productivity/delivery,Longitudinal Multi-case Study of AI-assisted Agile Teams,https://arxiv.org/abs/2602.13766,Three agile teams — story points; reported effect: +59.1% in one team,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-27,ST-27,E-27,productivity/delivery,Echoes of AI: Investigating the downstream effects of AI assistants on software maintainability,https://link.springer.com/article/10.1007/s10664-026-10889-1,Echoes of AI — task time; reported effect: 30.7% lower median time,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_some,Cause and effect clear: Yes,Participants compared similarly: Unclear,Control group present: Yes,Repeated pre/post measures: Unclear,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Yes,Analysis appropriate: Yes,,,Some concerns,,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-28,ST-28,E-28,productivity/delivery,Harnessing the Potential of Gen-AI Coding Assistants in Public Sector Software Development,https://arxiv.org/abs/2409.17434,GovTech Singapore — task speed; reported effect: 21–28% faster,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_high,Cause and effect clear: Yes,Participants compared similarly: No,Control group present: Unclear,Repeated pre/post measures: No,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Unclear,Analysis appropriate: Unclear,,,High,GovTech Singapore,"The comparison is weakly controlled or materially confounded, and incomplete reporting prevents the observed difference from being attributed securely to AI assistance.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
