source_run,methodology_url,name,tested,pass,lo,hi,rubric,sec,ttft,cost,costTask,pNote,rNote,sNote,cNote
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,glm-5.3,2026-08-22,100,88,100,9.3,100,16.3,0.28,0.0101,,,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,glm-5.3-flash,2026-08-29,99,94,100,9.2,100,2.6,0.031,0.0004,,,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,deepseek-v4-pro,2026-08-22,96,82,99,8.7,83,40.0,0.081,0.0029,,,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,fable-5-1,2026-09-01,96,82,99,9.5,100,7.3,2.68,0.0991,,5,,4
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,gemini-3.6-flash,2026-07-28,96,82,99,8.8,83,6.6,0.48,0.017,,,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,gpt-5.5,2026-07-14,96,82,99,8.7,100,13.2,1.43,0.051,[3],,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,grok-4.5,2026-07-28,96,82,99,7.7,100,4.6,0.17,0.006,,,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,grok-4.6,2026-08-22,96,82,99,8.8,83,14.6,0.34,0.012,,,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,haiku-4-5,2026-07-14,96,82,99,7.4,100,0.9,0.12,0.0044,,1,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,kimi-k3,2026-07-17,96,82,99,9.5,100,26.4,0.93,0.0331,,,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,sonnet-4-6,2026-07-14,96,82,99,8.9,100,7.5,1.84,0.0658,,1,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,gemini-3.7-flash,2026-08-22,93,77,98,8.8,100,9.7,0.11,0.0038,,,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,sonnet-5,2026-07-14,93,77,98,8.8,100,1.8,0.33,0.0118,[3],1,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,glm-5.2,2026-07-14,89,73,96,8.6,67,13.1,0.18,0.0065,,,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,gpt-5.6-sol,2026-08-02,86,69,94,8.8,50,6.8,1.45,0.0517,,1,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,gpt-5.6-terra,2026-08-02,86,69,94,8.7,33,4.8,0.24,0.0087,,1,,
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,opus-5,2026-07-28,86,69,94,9.4,100,8.3,1.67,0.0696,,,,4
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,fable-5,2026-07-14,79,60,90,9.3,100,7.9,1.35,0.0748,[3],2,,4
20260901T221834Z,https://reinvently.co.uk/tools/ed-o-meter/#scoring-title,gpt-5.6-luna,2026-08-02,79,60,90,8.6,33,5.3,0.064,0.0023,,1,,
